City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Porto Novo,BJ,2022-04-27 01:42:20,6.4965,2.6036,82.22,82,100,8.16
1,Huilong,CN,2022-04-27 01:42:21,31.8111,121.655,64.92,64,100,16.58
2,Dikson,RU,2022-04-27 01:42:21,73.5069,80.5464,13.03,90,93,9.13
3,Mataura,NZ,2022-04-27 01:42:22,-46.1927,168.8643,55.47,89,85,3.78
4,Bethel,US,2022-04-27 01:42:22,41.3712,-73.414,55.49,92,100,0.0
5,Ushuaia,AR,2022-04-27 01:38:42,-54.8,-68.3,38.86,81,75,16.11
6,George Town,MY,2022-04-27 01:41:54,5.4112,100.3354,84.13,87,20,6.91
7,New Norfolk,AU,2022-04-27 01:42:23,-42.7826,147.0587,59.92,80,100,1.81
8,Kavaratti,IN,2022-04-27 01:42:23,10.5669,72.642,84.94,72,10,4.7
9,Rikitea,PF,2022-04-27 01:42:24,-23.1203,-134.9692,77.88,71,100,20.92
10,Hermanus,ZA,2022-04-27 01:42:24,-34.4187,19.2345,50.81,81,0,10.07
11,East London,ZA,2022-04-27 01:40:22,-33.0153,27.9116,62.28,73,90,10.51
12,San Policarpo,PH,2022-04-27 01:42:25,12.1791,125.5072,81.52,86,100,11.9
13,Jalu,LY,2022-04-27 01:42:25,29.0331,21.5482,74.37,20,99,15.48
14,Riyadh,SA,2022-04-27 01:41:33,24.6877,46.7219,73.54,43,0,9.46
15,Barrow,US,2022-04-27 01:42:26,71.2906,-156.7887,10.42,85,100,13.8
16,Punta Arenas,CL,2022-04-27 01:41:37,-53.15,-70.9167,37.51,70,40,5.75
17,Hilo,US,2022-04-27 01:42:27,19.7297,-155.09,85.28,80,40,14.97
18,Constitucion,CL,2022-04-27 01:42:27,-35.3333,-72.4167,49.89,88,7,6.46
19,Clyde River,CA,2022-04-27 01:40:29,70.4692,-68.5914,-3.77,92,0,9.22
20,Tasiilaq,GL,2022-04-27 01:39:07,65.6145,-37.6368,30.36,91,83,4.68
